sezon,mecz,data,wynik,status,runda,druzyna_domowa,druzyna_goscinna,bramki_domowe,bramki_goscinne
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs Füchse Berlin,2021-04-04 14:00,25:24,Final,Round: 24,FRISCH AUF! Göppingen,Füchse Berlin,25,24
LIQUI MOLY HBL 2020/21,SC Magdeburg vs SG Flensburg-Handewitt,2021-04-04 11:30,29:32,Final,Round: 24,SC Magdeburg,SG Flensburg-Handewitt,29,32
LIQUI MOLY HBL 2020/21,THW Kiel vs TVB Stuttgart,2021-04-03 18:30,33:28,Final,Round: 24,THW Kiel,TVB Stuttgart,33,28
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs HSC 2000 Coburg,2021-04-03 18:30,22:19,Final,Round: 24,Eulen Ludwigshafen,HSC 2000 Coburg,22,19
LIQUI MOLY HBL 2020/21,MT Melsungen vs Rhein-Neckar Löwen,2021-04-01 17:00,25:26,Final,Round: 17,MT Melsungen,Rhein-Neckar Löwen,25,26
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs HSG Nordhorn-Lingen,2021-04-01 17:00,35:24,Final,Round: 24,HBW Balingen-Weilstetten,HSG Nordhorn-Lingen,35,24
LIQUI MOLY HBL 2020/21,TuSEM Essen vs GWD Minden,2021-04-01 17:00,29:20,Final,Round: 35,TuSEM Essen,GWD Minden,29,20
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs MT Melsungen,2021-03-28 14:00,27:30,Final,Round: 16,Eulen Ludwigshafen,MT Melsungen,27,30
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs TuSEM Essen,2021-03-28 14:00,22:19,Final,Round: 23,HSG Nordhorn-Lingen,TuSEM Essen,22,19
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs SC Magdeburg,2021-03-28 11:30,22:32,Final,Round: 23,TVB Stuttgart,SC Magdeburg,22,32
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs GWD Minden,2021-03-27 19:30,29:27,Final,Round: 23,Rhein-Neckar Löwen,GWD Minden,29,27
LIQUI MOLY HBL 2020/21,Füchse Berlin vs SC DHfK Leipzig,2021-03-27 19:30,27:28,Final,Round: 23,Füchse Berlin,SC DHfK Leipzig,27,28
LIQUI MOLY HBL 2020/21,HC Erlangen vs Bergischer HC,2021-03-27 19:30,20:25,Final,Round: 23,HC Erlangen,Bergischer HC,20,25
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs THW Kiel,2021-03-27 17:05,31:28,Final,Round: 23,SG Flensburg-Handewitt,THW Kiel,31,28
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs GWD Minden,2021-03-25 18:00,33:29,Final,Round: 16,FRISCH AUF! Göppingen,GWD Minden,33,29
LIQUI MOLY HBL 2020/21,MT Melsungen vs HBW Balingen-Weilstetten,2021-03-25 18:00,24:25,Final,Round: 23,MT Melsungen,HBW Balingen-Weilstetten,24,25
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs HSG Wetzlar,2021-03-25 18:00,30:30,Final,Round: 23,HSC 2000 Coburg,HSG Wetzlar,30,30
LIQUI MOLY HBL 2020/21,THW Kiel vs SC DHfK Leipzig,2021-03-24 17:30,31:21,Final,Round: 17,THW Kiel,SC DHfK Leipzig,31,21
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs Rhein-Neckar Löwen,2021-03-21 15:00,26:33,Final,Round: 22,SC DHfK Leipzig,Rhein-Neckar Löwen,26,33
LIQUI MOLY HBL 2020/21,GWD Minden vs HSC 2000 Coburg,2021-03-21 15:00,30:21,Final,Round: 22,GWD Minden,HSC 2000 Coburg,30,21
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs TBV Lemgo Lippe,2021-03-21 15:00,24:25,Final,Round: 22,Eulen Ludwigshafen,TBV Lemgo Lippe,24,25
LIQUI MOLY HBL 2020/21,SC Magdeburg vs Füchse Berlin,2021-03-21 12:30,29:24,Final,Round: 22,SC Magdeburg,Füchse Berlin,29,24
LIQUI MOLY HBL 2020/21,THW Kiel vs HSG Wetzlar,2021-03-20 19:30,23:19,Final,Round: 22,THW Kiel,HSG Wetzlar,23,19
